nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	
0	0.77109	2.21596	0.27646	0.00000	2.66906	0.47538	1.47561	2.60584	0.70513	0.37218	0.08058	0.07542	0.03327	0.03327	0.00207	0.00223	889.03738	0.52382	1119.93584	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	2.15313	63.51639	5.83192	0.00000	2.66906	4.07973	2.22187	2.54067	0.24527	0.00395	0.05524	0.07542	0.31157	0.31157	0.01859	0.02087	10.13496	0.57909	462.86734	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	1.02119	133.12845	1.04267	0.00000	2.66906	3.56261	5.03536	2.16967	0.21521	0.38094	0.00860	0.07542	0.51029	0.51029	0.03186	0.03419	3.77841	0.15817	365.23297	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	0.52785	172.63158	0.09800	0.00000	2.66906	3.56016	5.09886	5.25326	0.67107	0.12689	0.05402	0.07542	0.60681	0.60681	0.03786	0.04065	2.67204	0.52172	269.48896	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	3.57939	450.28168	6.07894	0.00000	2.66906	3.75596	2.62676	5.30288	0.68370	0.41560	0.03418	0.07542	1.14981	1.14981	0.06864	0.07703	0.74420	0.12477	193.86631	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	3.09999	6.77076	10.42404	0.00000	2.39320	2.87436	1.97963	1.49447	0.31144	0.20165	0.03017	627.02145	0.07005	0.07005	0.00458	0.00469	200.51820	0.43725	954.06550	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	3.03029	16.83586	5.25741	0.00000	2.39320	5.65678	4.94050	2.14008	0.47831	0.08424	0.09836	627.02145	0.12857	0.12857	0.00752	0.00861	59.52366	0.11340	657.02197	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	1.13342	21.90690	0.73284	0.00000	2.39320	0.22846	2.09329	3.03273	0.05399	0.51474	0.07961	627.02145	0.15324	0.15324	0.00803	0.01027	41.90143	0.69392	698.36937	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
1	4.47192	110.75492	37.71660	0.00000	2.39320	5.92062	2.39559	2.29855	0.44299	0.32258	0.04823	627.02145	0.45138	0.45138	0.02216	0.03024	4.82895	0.73550	356.43622	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	0.56072	11.76216	0.14236	0.00000	2.66531	3.63108	1.57826	4.70380	0.56888	0.30028	0.06896	4.93458	0.10123	0.10123	0.00678	0.00678	96.01827	0.31857	705.98022	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	1.53906	19.53039	3.33116	0.00000	2.66531	3.48146	4.29444	3.43848	0.70177	0.14519	0.06708	4.93458	0.14194	0.14194	0.00847	0.00951	48.83397	0.12432	543.71549	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	7.65985	56.48121	115.60190	0.00000	2.66531	2.93737	0.66491	0.27903	0.62841	0.02026	0.05820	4.93458	0.28812	0.28812	0.01792	0.01930	11.85217	0.15486	403.19983	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
2	1.84774	338.78488	6.20634	0.00000	2.66531	2.39297	0.88296	0.35188	0.34483	0.03248	0.08616	4.93458	0.95116	0.95116	0.05744	0.06372	1.08752	0.13220	255.71196	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
3	1.14342	7.32418	1.71530	0.00000	0.46983	5.46912	5.71188	0.99709	0.64014	0.37240	0.09965	12.46366	0.07381	0.07381	0.00486	0.00495	180.57508	0.23039	790.22601	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
3	0.56866	65.21130	0.22467	0.00000	0.46983	5.26830	3.67340	4.70022	0.34011	0.21612	0.01183	12.46366	0.31709	0.31709	0.01953	0.02124	9.78527	0.14674	443.67474	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
3	4.90452	231.57892	21.54350	0.00000	0.46983	0.90506	4.92750	3.82137	0.32950	0.48079	0.02882	12.46366	0.73808	0.73808	0.04742	0.04945	1.80608	0.18955	291.97002	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
4	0.99995	129.17166	0.79624	0.00000	1.82103	1.64476	3.79437	0.19683	0.32463	0.30495	0.08152	2.58897	0.50013	0.50013	0.02298	0.03351	3.93351	0.77089	355.33172	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
5	1.93800	353.57807	3.85169	0.00000	1.24841	1.23573	2.52189	3.78170	0.46205	0.44050	0.03021	218.41959	0.97865	0.97865	0.06555	0.06557	1.02728	0.30869	239.97286	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
5	1.07584	453.10930	0.58334	0.00000	1.24841	2.76826	5.88712	1.90918	0.02057	0.10748	0.05435	218.41959	1.15462	1.15462	0.02487	0.07735	0.73802	0.00368	256.63349	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
6	2.85168	51.05681	2.82183	0.00000	1.17190	2.79627	3.72767	4.61444	0.49834	0.37117	0.08665	281.72569	0.26936	0.26936	0.01049	0.01805	13.56017	0.02433	449.49326	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
6	1.11799	124.33870	4.27259	0.00000	1.17190	4.85533	1.80431	4.43354	0.24660	0.06426	0.09540	281.72569	0.48758	0.48758	0.03264	0.03267	4.13868	0.33947	369.85028	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
6	1.52770	214.08692	2.20006	0.00000	1.17190	2.74826	1.53431	0.07095	0.13879	0.08414	0.06902	281.72569	0.70043	0.70043	0.01829	0.04693	2.00547	0.00670	319.06949	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
7	0.75148	42.45180	0.45481	0.00000	1.72233	0.26763	3.32023	5.24344	0.25156	0.21375	0.05276	6.39446	0.23818	0.23818	0.01056	0.01596	17.34370	0.03803	528.29726	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
8	0.73709	1.47888	0.20254	0.00000	2.38247	1.72129	0.86469	0.11584	0.78888	0.18215	0.00481	4.85252	0.02541	0.02541	0.00140	0.00170	1524.37551	0.08602	1178.84472	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
8	0.94193	43.32418	0.50451	0.00000	2.38247	5.45012	3.85523	6.01835	0.43562	0.53598	0.07145	4.85252	0.24143	0.24143	0.01544	0.01617	16.87963	0.48193	488.97604	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
8	0.50604	117.72405	0.11812	0.00000	2.38247	5.97879	1.05338	0.19297	0.46553	0.17742	0.01151	4.85252	0.47013	0.47013	0.02387	0.03150	4.45160	0.06264	345.67235	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
9	1.37252	1.88157	2.20006	0.00000	0.11626	5.93247	4.38687	4.44649	0.76531	0.13795	0.06071	3.69346	0.02983	0.02983	0.00199	0.00200	1105.71503	0.28664	1117.09147	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
9	1.29584	27.18906	2.24617	0.00000	0.11626	1.45896	5.57492	4.19657	0.74108	0.11861	0.06138	3.69346	0.17697	0.17697	0.01185	0.01186	31.41552	0.33827	470.03433	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
9	0.92826	61.65195	0.55964	0.00000	0.11626	4.35963	4.30574	3.66475	0.24671	0.59987	0.09801	3.69346	0.30545	0.30545	0.02033	0.02046	10.54567	0.26282	467.26394	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
9	3.46777	420.88999	17.50799	0.00000	0.11626	1.08551	0.79322	5.18795	0.39840	0.21778	0.01026	3.69346	1.09922	1.09922	0.07360	0.07364	0.81429	0.33575	232.84976	0	1.01000	1.00000	5720.00000	14.92631	G	150.25274	31.92367	195.01552	52.85333	
0	2.81078	1.63221	2.65160	0.00000	1.10316	2.03097	4.83624	2.31875	0.16936	0.27620	0.09782	2.03338	0.01247	0.01247	0.00063	0.00086	5.20336	0.05438	401.30748	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	0.63191	193.30095	0.27079	0.00000	1.10316	5.22502	3.69680	3.90085	0.66232	0.02402	0.02858	2.03338	0.30064	0.30064	0.01045	0.02071	0.00895	0.01525	65.25285	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
0	1.75349	355.86161	8.29751	0.00000	1.10316	4.65466	3.16838	5.06674	0.64052	0.21705	0.08932	2.03338	0.45159	0.45159	0.01742	0.03111	0.00397	0.02149	54.08072	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
2	0.71759	12.73510	0.25445	0.00000	2.00160	1.08037	4.73118	1.55544	0.10688	0.24801	0.02977	1.69271	0.04904	0.04904	0.00338	0.00338	0.33624	0.31675	206.03621	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
2	1.10649	53.68981	1.86368	0.00000	2.00160	2.59360	3.69792	5.95256	0.56071	0.38396	0.04012	1.69271	0.12798	0.12798	0.00863	0.00882	0.04937	0.42659	106.80859	1	0.12900	0.09700	2710.00000	14.51745	M	150.20924	31.92923	195.00221	52.81687	
