kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_sma,koi_insol,koi_depth,koi_duration,koi_incl,koi_steff,koi_srad,koi_smass,koi_kepmag,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_delivname,dataspan,dutycycle,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0
7117126,K07814.01,FALSE POSITIVE,FALSE POSITIVE,0.566717263,0.43,0.013,4581.82,18.5,2.6079,66.78,5544.0,0.957,0.914,13.724,4.0626316,8.666514,11.1,2358.0,q1_q17_dr25_tce,1459.789,0.8752,89.26,79.202,74.18,68.332,64.927,59.088,56.66,52.657,48.576,45.412,43.309,41.635,41.209,39.043
11918099,K00780.02,CANDIDATE,CANDIDATE,7.2406612,19.45,0.0692,68.63,556.4,0.558,87.62,5005.0,0.765,0.85,15.334,3.2751372,9.1666,13.7,168.0,q1_q17_dr25_tce,1459.789,0.875,302.741,268.148,251.934,232.829,221.571,201.556,192.688,178.792,163.262,152.569,144.48,138.303,136.77,128.425
11853130,K03263.01,CANDIDATE,CANDIDATE,76.87935893,7.71,0.2746,0.4,21272.0,2.3819,89.74,3638.0,0.436,0.467,15.949,38.037132,118.37778,131.0,14.0,q1_q17_dr25_tce,1459.789,0.6987,612.725,550.72,521.334,482.16,457.202,415.054,398.605,371.814,341.748,319.461,302.357,290.087,286.184,268.722
11853255,K00778.01,CONFIRMED,CANDIDATE,2.243380573,1.99,0.028,107.6,821.7,1.1196,82.88,4149.0,0.564,0.578,15.135,4.251499,30.578562,38.9,472.0,q1_q17_dr25_tce,1459.789,0.6986,345.415,310.385,294.797,274.081,261.963,238.447,228.39,212.422,195.952,183.8,174.735,168.483,166.588,157.891
11867608,K04899.01,FALSE POSITIVE,FALSE POSITIVE,227.6258,1.79,0.7558,5.7,131.0,9.47,89.95,6240.0,1.549,1.111,13.607,,,8.8,,,1459.789,0.8751,103.45,91.255,85.46,78.729,74.81,67.703,65.022,60.719,55.809,51.737,48.826,46.392,45.692,42.063
11867733,K08294.01,FALSE POSITIVE,FALSE POSITIVE,384.356448,3.03,1.0366,1.0,715.7,3.872,89.89,5903.0,0.994,1.005,14.391,7.510694,11.127462,13.2,4.0,q1_q17_dr25_tce,1459.789,0.875,174.367,153.674,143.862,132.79,125.685,113.063,108.222,100.494,92.398,85.435,80.836,76.502,75.373,70.301
11922290,K08070.01,FALSE POSITIVE,FALSE POSITIVE,114.661733,1.38,0.4053,2.37,281.8,2.784,89.71,5412.0,0.712,0.674,14.077,3.2436306,7.235026,7.3,10.0,q1_q17_dr25_tce,1459.789,0.8753,152.148,136.14,129.702,120.892,115.103,105.803,101.906,96.589,91.173,87.251,85.769,84.74,84.65,84.653
11823054,K00543.02,CONFIRMED,CANDIDATE,3.137845914,1.5,0.0391,277.64,305.7,1.91,87.72,5041.0,0.857,0.807,14.707,5.208468,25.52837,30.8,405.0,q1_q17_dr25_tce,1459.789,0.8753,217.269,191.694,179.733,165.225,156.396,141.12,135.102,126.177,116.208,109.145,103.675,99.648,98.67,93.53
11823054,K00543.01,CONFIRMED,CANDIDATE,4.302139338,2.46,0.0482,182.7,747.2,2.0289,87.09,5041.0,0.857,0.807,14.707,6.131934,53.66932,65.5,307.0,q1_q17_dr25_tce,1459.789,0.8753,217.269,191.694,179.733,165.225,156.396,141.12,135.102,126.177,116.208,109.145,103.675,99.648,98.67,93.53
11873166,K07487.01,FALSE POSITIVE,FALSE POSITIVE,0.734426335,51.42,0.0163,4660.36,99056.0,2.7415,67.63,6108.0,0.997,1.072,13.47,214.30254,2211.5642,429.7,909.0,q1_q17_dr25_tce,1459.789,0.8718,775.048,782.677,825.337,847.872,891.672,957.863,990.227,1050.962,1129.016,1137.69,1118.859,1098.6,1093.996,1035.904
11873171,K07488.01,FALSE POSITIVE,FALSE POSITIVE,0.734426409,0.98,0.0162,5800.4,94.1,1.569,89.39,6406.0,1.005,1.057,15.588,3.9764793,8.0354805,10.4,1820.0,q1_q17_dr25_tce,1459.789,0.8755,378.482,333.265,310.223,284.739,268.909,240.914,230.164,214.312,195.713,182.46,172.474,164.14,161.512,150.07
