pl_name,hostname,discoverymethod,disc_facility,tran_flag,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rade_reflink,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_bmasse_reflink,st_teff,st_rad,st_mass,st_lum,sy_dist
HAT-P-8 b,HAT-P-8,Transit,HATNet,1,1519.9645,,,0,15.6926,1.45717,-1.45717,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,406.8224,85.8141,-85.8141,0,Mass,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,6200.0,1.57,1.27,0.519,211.553
K2-43 b,K2-43,Transit,K2,1,49.0,6.9,-6.9,0,4.51,0.44,-0.19,0,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,18.5,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,3840.6,0.542,0.571,-1.21241,182.536
Kepler-1753 b,Kepler-1753,Transit,Kepler,1,27.41,12.98,-6.54,0,2.22678077,,,0,<a refstr=VALIZADEGAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926..120V/abstract target=ref>Valizadegan et al. 2022</a>,5.59,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5180.0,0.769,0.86,-0.55992,707.688
Kepler-1176 b,Kepler-1176,Transit,Kepler,1,26.087,1.664,-1.546,0,2.45,0.63,-0.32,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6.57,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5844.0,1.02,1.01,-0.11691,864.699
K2-126 b,K2-126,Transit,K2,1,35.3,6.6,-5.9,0,1.97,0.12,-0.12,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,4.54,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,4339.0,0.65,0.69,-0.87762,102.953
Kepler-1263 b,Kepler-1263,Transit,Kepler,1,144.813,5.503,-5.276,0,1.14,0.28,-0.12,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.55,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5213.0,0.8,0.84,-0.41402,664.83
Kepler-1416 b,Kepler-1416,Transit,Kepler,1,2658.55,112.55,-106.953,0,0.88,0.33,-0.14,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.615,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,6019.0,1.15,1.09,0.28393,949.59
Kepler-1542 c,Kepler-1542,Transit,Kepler,1,786.082,20.801,-20.253,0,0.65,0.09,-0.06,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.208,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5564.0,0.99,0.94,0.07026,399.114
K2-85 b,K2-85,Transit,K2,1,800.0,234.0,-234.0,0,1.4,0.2,-0.2,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,3.2,1.3,-1.3,0,Mass,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,4232.0,0.71,0.7,-0.81171,97.2179
Kepler-368 c,Kepler-368,Transit,Kepler,1,28.681,1.147,-1.098,0,3.88,1.08,-1.08,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,14.3,,,0,M-R relationship,<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>,5502.0,2.019,1.165,0.56235,770.978
