pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_refname,sy_dist,sy_disterr1,sy_disterr2,AngSep,Rp_m,Rs_m,B_planet,B_star,Fp,fp,flux_ratio_value_best,luminosity_s,distance_s,radius_p,Rp,Porb,Mp,ep,ecc_p,ip,inc_p,Omegap,large_omega_p,omegap,small_omega_p,thetap,Abond,AgeomVIS,AgeomMIR,ap,rp,maxAngSep,Tp,Msun,Nuniverse,Nstar,ra,dec,name_s,id,radius_s,p_orb,semimajor_p,temp_s,temp_p,mass_p,detected,detected_best,detected_worst,maxangsep,z,stype,habitable,run,Star,radius_bin
2MASS J01225093-2439505 b,0,1,1,Imaging,2013,W. M. Keck Observatory,Published Confirmed,0,<a refstr=HINKLEY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...805L..10H/abstract target=ref>Hinkley et al. 2015</a>,,,,,,,,,11.209,,,0.0,,,,,,,,,1600.0,100.0,-100.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3309.0,157.0,-157.0,0.0,0.36645,0.011155,-0.011155,0.0,0.353185,0.020403,-0.020403,0.0,-1.83849,0.09764,-0.12615,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,33.8281,0.0864,-0.086,,71492122.89999999,254939265.0,87811332.88828792,207447588.9971501,0.03328780091608435,0.03328780091608435,0.03328780091608435,0.01450474172322555,33.8281,11.209,11.209,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.3,0.3,0.3,,,,1600.0,0.353185,1,1,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0,0.36645,,,3309.0,1600.0,,True,True,True,,0.1,M,False,0,<__main__.Star object at 0x17f7f0790>,
55 Cnc e,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.532..207D/abstract target=ref>Demory et al. 2016</a>,0.736539,7e-06,-7e-06,0.0,0.01544,9e-05,-9e-05,0.0,1.91,0.08,-0.08,0.0,8.08,0.31,-0.31,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.963515,0.077739,-0.053155,0.0,0.9,0.140042,-0.089993,0.0,-0.19695,0.0125,-0.01039,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855,0.0124,-0.0123,253.04768185610425,12182171.0,670317385.5,,344224587.4758585,,,,0.6354040812391201,12.5855,1.91,1.91,0.736539,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.04768185610425,0.3,0.3,0.3,0.01544,0.01544,253.04768185610425,,0.9,1,1,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1,0.963515,0.736539,0.01544,5250.0,,8.08,True,True,True,253.04768185610425,0.1,G,False,0,<__main__.Star object at 0x17f7f0130>,1.5–3.0
55 Cnc e,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=DEMORY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2018D/abstract target=ref>Demory et al. 2016</a>,,,,,0.01544,9e-05,-9e-05,0.0,1.92,0.08,-0.08,0.0,8.08,0.31,-0.31,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.963515,0.077739,-0.053155,0.0,0.9,0.140042,-0.089993,0.0,-0.19695,0.0125,-0.01039,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855,0.0124,-0.0123,253.04768185610425,12245952.0,670317385.5,,344224587.4758585,,,,0.6354040812391201,12.5855,1.92,1.92,,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.04768185610425,0.3,0.3,0.3,0.01544,0.01544,253.04768185610425,,0.9,1,1,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2,0.963515,,0.01544,5250.0,,8.08,True,True,True,253.04768185610425,0.1,G,False,0,<__main__.Star object at 0x17f7f09d0>,1.5–3.0
55 Cnc e,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=ENDL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...759...19E/abstract target=ref> Endl et al. 2012 </a>,0.736546,3e-06,-3e-06,0.0,0.01583,0.0002,-0.0002,0.0,2.173,0.097,-0.098,0.0,8.37,0.38,-0.38,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.0,123.3,-171.85,0.0,0.963515,0.077739,-0.053155,0.0,0.9,0.140042,-0.089993,0.0,-0.19695,0.0125,-0.01039,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.5855,0.0124,-0.0123,259.43943029677007,13859611.3,670317385.5,,344224587.4758585,,,,0.6354040812391201,12.5855,2.173,2.173,0.736546,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.43943029677007,0.3,0.3,0.3,0.01583,0.01583,259.43943029677007,,0.9,1,1,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3,0.963515,0.736546,0.01583,5250.0,,8.37,True,True,True,259.43943029677007,0.1,G,False,0,<__main__.Star object at 0x17f7f0850>,1.5–3.0
AU Mic b,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,8.46321,4e-05,-4e-05,0.0,0.066,0.007,-0.006,0.0,4.203375,0.201762,-0.201762,0.0,57.2094,,,1.0,,,,,,,,,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,,3700.0,100.0,-100.0,0.0,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,-1.04576,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.7221,0.004625,-0.004625,1400.2622890116334,26809546.087500002,521775000.0,,234966843.15015736,,,,0.08999947996372012,9.7221,4.203375,4.203375,8.46321,57.2094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.2622890116334,0.3,0.3,0.3,0.066,0.066,1400.2622890116334,,0.5,1,1,0.0,0.0,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,4,0.75,8.46321,0.066,3700.0,,57.2094,True,True,True,1400.2622890116334,0.1,M,False,0,<__main__.Star object at 0x17f7f0bb0>,3.0–6.0
AU Mic b,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,8.46308,6e-05,-6e-05,0.0,0.0649,0.0012,-0.0012,0.0,3.95677019,0.14571675,-0.14571675,0.0,,,,,21.2,2.5,-2.4,0.0,600.0,17.0,-16.0,0.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,-1.0381,0.04925,-0.04914,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.7221,0.004625,-0.004625,1376.924584194773,25236675.948838998,517600800.0,20698787.2587911,233417806.12127343,0.000210807152811913,0.000210807152811913,0.000210807152811913,0.09160095468444289,9.7221,3.95677019,3.95677019,8.46308,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.924584194773,0.3,0.3,0.3,0.0649,0.0649,1376.924584194773,600.0,0.51,1,1,0.0,0.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,5,0.744,8.46308,0.0649,3678.0,600.0,,True,True,True,1376.924584194773,0.1,M,False,0,<__main__.Star object at 0x17f7f09a0>,3.0–6.0
AU Mic c,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969,8e-05,-8e-05,0.0,0.1108,0.002,-0.002,0.0,2.52202066,0.24659758,-0.24659758,0.0,,,,,7.3,0.9,-0.8,0.0,459.0,13.0,-12.0,0.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,-1.0381,0.04925,-0.04914,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.7221,0.004625,-0.004625,2350.7433579165,16085699.971546,517600800.0,12370002.059816431,233417806.12127343,5.118301198363879e-05,5.118301198363879e-05,5.118301198363879e-05,0.09160095468444289,9.7221,2.52202066,2.52202066,18.85969,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.7433579165,0.3,0.3,0.3,0.1108,0.1108,2350.7433579165,459.0,0.51,1,1,0.0,0.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,6,0.744,18.85969,0.1108,3678.0,459.0,,True,True,True,2350.7433579165,0.1,M,False,0,<__main__.Star object at 0x17f7f0b50>,1.5–3.0
BD+20 594 b,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.003,-0.0031,0.0,0.241,0.019,-0.017,0.0,2.23,0.14,-0.11,0.0,16.3,6.0,-6.1,0.0,,,,,546.0,19.0,-18.0,0.0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766.0,99.0,-99.0,0.0,0.928,0.055,-0.04,0.0,0.961,0.032,-0.029,0.0,-0.05552,0.06835,-0.06367,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,179.461,1.257,-1.24,276.9953638952195,14223163.0,645609600.0,17419061.563741256,380630654.8202519,2.2211270803901985e-05,2.2211270803901985e-05,2.2211270803901985e-05,0.8799945855058902,179.461,2.23,2.23,41.6855,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.9953638952195,0.3,0.3,0.3,0.241,0.241,276.9953638952195,546.0,0.961,1,1,0.0,0.0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,7,0.928,41.6855,0.241,5766.0,546.0,16.3,True,True,True,276.9953638952195,0.1,G,False,0,<__main__.Star object at 0x17f7f0b80>,1.5–3.0
BD+60 1417 b,1,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,Published Confirmed,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,,,,,1662.0,,,0.0,14.68376472,0.67253884,-0.67253884,0.0,4767.426105,1589.142035,-1589.142035,0.0,,,,,1303.0,74.0,-74.0,0.0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,K0,4993.0,124.0,-124.0,0.0,0.797,0.051,-0.051,0.0,1.0,,,0.0,0.35595,0.01021,-0.01021,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.9543,0.0593,-0.0592,7625798.42195296,93654519.760632,554472900.0,67321845.88159242,326096780.13202804,0.0058898785223211085,0.0058898785223211085,0.0058898785223211085,2.2696035390779317,44.9543,14.68376472,14.68376472,,4767.426105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7625798.42195296,0.3,0.3,0.3,1662.0,1662.0,7625798.42195296,1303.0,1.0,1,1,0.0,0.0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,8,0.797,,1662.0,4993.0,1303.0,4767.426105,True,True,True,7625798.42195296,0.1,G,False,0,<__main__.Star object at 0x17f7f0c40>,
BD-14 3065 b,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.2e-06,-5.2e-06,0.0,0.0656,0.0026,-0.0026,0.0,21.59,1.05,-1.05,0.0,3932.0,290.0,-280.0,0.0,,,,,2001.0,31.0,-31.0,0.0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935.0,90.0,-90.0,0.0,2.35,0.08,-0.08,0.0,1.41,0.05,-0.05,0.0,1.06,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,589.423,16.599,-15.729,22.956321690873956,137703179.0,1634895000.0,115708880.51932882,463142106.21905947,0.0017723954526097597,0.0017723954526097597,0.0017723954526097597,11.481536214968829,589.423,21.59,21.59,4.2889731,3932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.956321690873956,0.3,0.3,0.3,0.0656,0.0656,22.956321690873956,2001.0,1.41,1,1,0.0,0.0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,9,2.35,4.2889731,0.0656,6935.0,2001.0,3932.0,True,True,True,22.956321690873956,0.1,G,False,0,<__main__.Star object at 0x17f7f0e20>,
