sector,tmag_bin,rrmscdpp00p5,rrmscdpp01p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p5,rrmscdpp15p0,n_stars
0,1.5,37.108,33.672,34.52,34.684,36.497,37.554,39.135,41.682,42.441,43.531,45.769,48.017,49.986,52.589,56.008,55
0,2.0,33.236,35.228,37.645,39.7,40.636,41.618,43.14,45.781,46.859,48.429,50.872,52.646,54.35,56.916,60.538,466
0,2.5,35.402,39.888,42.898,46.258,47.62,48.748,50.321,52.564,53.813,55.674,58.387,60.362,62.078,64.099,67.03,760
0,3.0,36.671,39.8,41.965,44.957,46.228,47.751,49.184,51.594,52.463,54.419,57.235,59.704,61.966,64.541,67.498,1551
0,3.5,37.206,39.273,42.187,45.122,46.574,48.24,50.259,53.224,54.435,56.532,59.567,61.911,63.934,66.488,69.701,2377
0,4.0,42.782,43.56,46.732,49.893,51.692,53.322,55.334,58.366,59.425,61.44,64.965,67.293,69.462,71.914,74.735,4833
0,4.5,50.47,50.455,53.81,57.167,59.128,61.172,63.533,66.65,67.804,69.842,73.496,76.145,78.23,80.705,83.538,7819
0,5.0,63.409,62.319,66.074,70.184,72.139,74.534,77.272,80.568,81.757,83.921,87.342,89.832,92.017,94.626,97.45,14263
0,5.5,68.645,66.26,69.994,73.53,75.809,78.554,81.445,85.07,86.391,88.486,92.46,94.854,96.728,99.014,101.976,25702
0,6.0,74.717,70.043,72.175,74.425,76.826,79.773,82.93,86.293,87.412,89.474,93.543,95.901,97.552,99.912,102.706,25039
0,6.5,86.332,71.583,66.292,63.828,63.134,62.805,62.744,62.373,62.316,62.554,63.323,63.209,63.284,63.766,63.914,14452
0,7.0,99.173,79.996,72.455,68.556,66.602,65.203,64.256,62.967,62.651,62.263,62.072,61.852,61.832,61.836,61.949,18896
0,7.5,113.832,90.031,80.476,75.286,72.298,70.315,68.78,66.616,65.977,64.959,64.012,63.369,62.959,62.611,62.542,29117
0,8.0,146.3,123.437,117.237,116.172,118.078,120.651,123.194,126.277,127.63,130.532,134.589,135.884,136.679,138.22,139.588,112889
0,8.5,168.496,138.484,128.688,125.414,125.729,126.763,127.987,129.598,130.411,132.2,134.258,134.563,134.597,135.02,135.052,130132
0,9.0,203.951,157.703,138.654,127.906,121.425,116.75,113.273,108.497,106.901,104.536,102.225,100.592,99.587,98.682,97.459,110683
0,9.5,253.07,190.271,163.435,147.706,137.654,130.166,124.626,116.652,113.834,109.436,104.885,101.695,99.51,97.286,95.225,121642
0,10.0,318.503,236.735,201.519,180.57,166.865,156.782,149.116,138.012,133.921,127.563,120.982,116.324,113.008,109.817,107.015,138777
0,10.5,409.158,301.722,255.414,227.643,209.318,195.786,185.401,170.429,164.834,156.151,146.978,140.574,135.922,131.45,127.478,151616
0,11.0,534.394,393.14,331.847,294.981,270.419,252.123,238.024,217.832,210.253,198.394,185.833,176.973,170.467,164.005,158.32,153441
0,11.5,709.144,521.716,440.786,392.066,359.853,335.742,317.146,290.084,279.977,263.989,247.004,234.901,226.108,217.502,209.659,126188
0,12.0,991.773,732.02,619.729,551.741,506.691,473.311,447.125,409.514,395.562,373.257,349.86,333.23,320.927,309.032,297.992,85660
0,12.5,1438.128,1066.807,905.182,807.491,743.772,695.48,658.41,603.81,583.354,551.234,516.794,491.617,473.167,454.184,436.999,61820
0,13.0,2067.829,1545.524,1322.153,1187.195,1099.192,1032.292,980.014,903.004,873.958,827.478,777.168,740.652,712.738,684.968,659.002,57744
0,13.5,3027.656,2264.29,1938.089,1741.439,1612.505,1513.347,1436.753,1323.512,1281.256,1211.687,1135.213,1078.629,1034.626,991.559,947.53,45637
0,14.0,4686.234,3516.136,3009.247,2706.066,2505.897,2354.029,2237.672,2061.339,1989.983,1880.425,1754.804,1662.945,1591.514,1517.224,1447.575,36119
0,14.5,7338.057,5464.8,4677.203,4197.881,3877.385,3636.829,3442.949,3156.051,3048.418,2866.402,2664.271,2515.576,2406.361,2288.206,2171.219,28376
0,15.0,11170.43,8305.398,7073.66,6347.686,5861.615,5492.974,5197.554,4764.972,4596.313,4317.506,4004.86,3767.42,3595.706,3405.143,3208.586,23324
0,15.5,17782.043,13104.822,11079.455,9863.604,9056.52,8443.773,7959.869,7261.674,6984.976,6548.331,6052.953,5679.202,5392.926,5090.867,4809.85,18525
0,16.0,28612.805,21025.876,17746.994,15771.713,14437.806,13451.772,12651.66,11508.512,11077.388,10359.372,9593.456,9020.322,8570.216,8115.816,7671.956,19044
0,16.5,46234.76,33987.162,28534.926,25286.794,23098.924,21512.822,20255.686,18358.306,17651.211,16546.418,15289.371,14372.286,13687.939,12962.884,12273.681,19564
0,17.0,69857.656,50910.058,42692.07,37751.688,34368.906,31882.372,29998.277,27187.15,26133.994,24428.27,22565.816,21168.65,20081.426,18992.847,17945.379,21962
0,17.5,108436.742,79046.118,66209.461,58461.642,53199.066,49255.516,46259.549,41785.947,40107.814,37357.354,34404.595,32274.29,30651.446,28960.232,27383.514,24974
0,18.0,165752.922,120596.289,101045.012,89123.282,81046.196,75027.856,70357.98,63673.377,61109.066,56945.807,52475.957,49144.112,46545.894,43923.602,41435.016,28202
0,18.5,258160.531,187721.328,156986.125,138488.328,126039.859,116653.125,109441.867,98796.57,94742.828,88280.664,81350.023,76244.25,72175.75,68075.398,64322.535,31451
0,19.0,387194.625,280880.469,234597.922,206367.125,187712.672,173584.719,162906.469,146878.5,140918.578,131266.031,120663.727,112876.602,106947.078,100914.109,95001.273,22643
0,19.5,724255.375,529475.938,445384.547,395213.125,361091.532,336069.5,316251.875,286961.61,276852.703,259244.102,240403.094,226089.266,215098.406,204563.774,193805.453,3908
0,20.0,1186558.5,868445.0,732309.75,652577.0,605062.625,567672.938,536650.562,493949.812,474827.25,450032.156,423783.75,403626.656,389556.25,374679.781,361832.469,1791
0,20.5,1713550.125,1273078.5,1086761.5,969377.625,892602.25,821953.688,780251.562,712784.438,678949.375,645355.875,602389.812,572727.625,554688.0,537028.188,522714.688,485
0,21.0,2371853.125,1744709.375,1474533.312,1317650.188,1264612.688,1204833.125,1149459.25,1043319.5,997928.25,919002.25,839523.813,781138.25,736620.438,692675.437,653865.469,34
1,3.0,37.901,36.894,38.078,39.573,40.858,42.788,44.674,47.032,48.212,50.042,53.222,55.482,57.776,60.394,63.636,10
1,3.5,26.382,23.375,26.002,29.025,30.759,32.349,34.234,36.677,37.849,39.116,41.444,43.282,44.79,46.18,47.97,18
1,4.0,37.408,37.636,43.462,48.075,49.043,50.362,51.716,54.874,57.091,59.549,63.592,66.322,72.431,75.732,78.555,40
1,4.5,39.63,41.046,44.754,47.323,48.744,49.786,51.654,54.908,57.102,58.738,62.058,64.702,67.516,70.426,73.918,62
1,5.0,49.961,50.45,54.458,58.971,60.094,63.121,65.327,69.135,71.383,73.698,78.364,81.367,85.7,88.734,92.729,117
1,5.5,55.99,53.843,58.749,63.63,66.818,69.221,72.107,76.032,77.432,79.184,82.965,86.026,90.344,93.354,97.438,192
1,6.0,64.864,60.413,60.25,63.278,67.578,69.781,73.64,76.363,77.505,79.216,80.599,83.976,87.996,90.367,94.195,177
1,6.5,75.354,61.295,56.469,54.313,53.887,54.181,53.302,52.934,52.991,53.735,52.393,49.953,49.713,50.199,45.862,147
1,7.0,90.622,74.948,70.162,67.881,66.852,65.652,64.648,63.478,62.64,61.083,61.465,60.999,61.101,63.146,61.908,249
1,7.5,102.588,80.694,71.672,68.456,65.699,64.279,63.039,62.51,61.81,60.118,59.312,58.142,56.66,54.814,55.745,398
1,8.0,135.813,110.962,102.644,99.621,99.469,98.848,97.86,97.853,98.329,97.373,98.967,98.557,98.446,97.856,101.267,1003
1,8.5,158.177,127.721,118.062,114.523,114.936,115.645,115.711,116.66,118.382,118.601,120.451,122.201,122.163,122.919,125.191,1621
1,9.0,193.054,145.845,125.966,114.911,107.936,102.817,99.162,94.446,92.688,89.84,87.097,85.233,83.847,83.255,82.773,1727
1,9.5,240.874,178.082,151.438,135.716,125.596,117.842,112.174,104.108,100.928,96.298,91.697,88.628,86.312,84.152,82.243,1872
1,10.0,304.316,224.521,190.377,170.035,156.841,147.263,139.332,127.831,123.74,117.504,110.384,105.14,101.82,99.293,97.173,2035
1,10.5,395.193,290.57,245.389,218.022,200.481,187.621,177.573,163.245,157.942,148.977,140.198,133.646,129.506,125.048,121.694,1910
1,11.0,515.495,380.059,321.712,286.384,262.725,246.191,232.508,213.556,206.377,195.238,183.54,175.214,169.149,163.834,158.604,1337
1,11.5,694.617,507.56,430.196,383.563,353.381,331.045,313.56,287.66,277.505,262.648,246.655,234.971,226.64,218.5,212.417,769
